Name,Pos,Date,Team,Opp,Result,Att,Cmp,Pct,Yds,YPA,TD,Int,Lg,Sack,Rate,,,,,,,,,,
,,10/26/14,Pit,Ind,"W, 51-34",49,40,81.6,522,10.7,6,0,52,0/0,150.6,10/26/14,Pit,Ind,"W, 51-34",1,-1,-1,-1,0,0
,,11/2/14,Pit,Bal,"W, 43-23",37,25,67.6,340,9.2,6,0,54t,19-Mar,136.3,11/2/14,Pit,Bal,"W, 43-23",2,1,0.5,1,0,1
,,11/9/14,Pit,@ NYJ,"L, 20-13",43,30,69.8,343,8,1,2,80t,17-Feb,81.8,11/9/14,Pit,@ NYJ,"L, 20-13",1,0,0,0,0,0
,,11/17/14,Pit,@ Ten,"W, 27-24",32,21,65.6,207,6.5,1,1,23,27-May,81.1,11/17/14,Pit,@ Ten,"W, 27-24",3,2,0.67,4,0,1
,,11/30/14,Pit,NO,"L, 35-32",58,32,55.2,435,7.5,2,2,48,Jan-00,76.4,11/30/14,Pit,NO,"L, 35-32",1,8,8,8,0,1
,,12/7/14,Pit,@ Cin,"W, 42-21",39,25,64.1,350,9,3,0,94t,0/0,118.5,12/7/14,Pit,@ Cin,"W, 42-21",1,-1,-1,-1,0,0
,,12/14/14,Pit,@ Atl,"W, 27-20",35,27,77.1,360,10.3,0,0,44,7-Jan,109.2,12/14/14,Pit,@ Atl,"W, 27-20",2,-2,-1,-1,0,0
,,12/21/14,Pit,KC,"W, 20-12",25,18,72,220,8.8,1,0,44,6-Jan,112.1,12/21/14,Pit,KC,"W, 20-12",4,-4,-1,-1,0,0
,,12/28/14,Pit,Cin,"W, 27-17",38,24,63.2,317,8.3,2,1,63t,0/0,96.1,12/28/14,Pit,Cin,"W, 27-17",4,3,0.75,4,0,0
,,1/3/15,Pit,Bal,"L, 30-17",45,31,68.9,334,7.4,1,2,44,May-37,79.3,1/3/15,Pit,Bal,"L, 30-17",2,16,8,16,0,1
,,9/10/15,Pit,@ NE,"L, 28-21",38,26,68.4,351,9.2,1,1,43,13-Feb,95.4,1/0/00,Pit,@ NE,"L, 28-21",0,0,0,0,0,0
,,9/20/15,Pit,SF,"W, 43-18",27,21,77.8,369,13.7,3,0,59,0/0,155.8,9/20/15,Pit,SF,"W, 43-18",1,-1,-1,-1,0,0
,,9/27/15,Pit,@ Stl,"W, 12-6",24,20,83.3,192,8,0,1,20,22-Mar,82.6,9/27/15,Pit,@ Stl,"W, 12-6",0,0,0,0,0,0
,,11/1/15,Pit,Cin,"L, 16-10",45,28,62.2,262,5.8,1,3,25,22-Mar,57.8,11/1/15,Pit,Cin,"L, 16-10",0,0,0,0,0,0
,,11/8/15,Pit,Oak,"W, 38-35",44,24,54.5,334,7.6,2,1,59,11-Jan,84.8,11/8/15,Pit,Oak,"W, 38-35",0,0,0,0,0,0
,,11/15/15,Pit,Cle,"W, 30-9",33,22,66.7,379,11.5,3,1,64,3-Jan,123.2,11/15/15,Pit,Cle,"W, 30-9",2,-2,-1,-1,0,0
,,11/29/15,Pit,@ Sea,"L, 39-30",55,36,65.5,456,8.3,1,2,69t,10-Feb,82.1,11/29/15,Pit,@ Sea,"L, 39-30",5,18,3.6,8,0,2
,,12/6/15,Pit,Ind,"W, 45-10",39,24,61.5,364,9.3,4,0,68t,0/0,126.4,12/6/15,Pit,Ind,"W, 45-10",1,13,13,13,0,1
,,12/13/15,Pit,@ Cin,"W, 33-20",39,30,76.9,282,7.2,0,1,31,12-Feb,85.6,12/13/15,Pit,@ Cin,"W, 33-20",1,6,6,6,0,1
,,12/20/15,Pit,Den,"W, 34-27",55,40,72.7,380,6.9,3,2,23t,26-Mar,94.5,12/20/15,Pit,Den,"W, 34-27",3,-3,-1,-1,0,0
,,12/27/15,Pit,@ Bal,"L, 20-17",34,24,70.6,220,6.5,0,2,27,22-Mar,63.4,12/27/15,Pit,@ Bal,"L, 20-17",0,0,0,0,0,0
,,1/3/16,Pit,@ Cle,"W, 28-12",36,24,66.7,349,9.7,3,2,66,0/0,102.7,1/3/16,Pit,@ Cle,"W, 28-12",2,-2,-1,-1,0,0
,,1/9/16,Pit,@ Cin,"W, 18-16",31,18,58.1,229,7.4,1,0,60,27-Mar,92,1/9/16,Pit,@ Cin,"W, 18-16",0,0,0,0,0,0
,,1/17/16,Pit,@ Den,"L, 23-16",37,24,64.9,339,9.2,0,0,58,28-Mar,94.3,1/17/16,Pit,@ Den,"L, 23-16",0,0,0,0,0,0
,,9/12/16,Pit,@ Was,"W, 38-16",37,27,73,300,8.1,3,1,42,10-Jan,112.4,9/12/16,Pit,@ Was,"W, 38-16",1,-2,-2,-2,0,0
,,9/18/16,Pit,Cin,"W, 24-16",37,19,51.4,259,7,3,2,53,9-Jan,78.5,9/18/16,Pit,Cin,"W, 24-16",1,14,14,14,0,1
,,9/25/16,Pit,@ Phi,"L, 34-3",44,24,54.5,257,5.8,0,1,41,Apr-35,62.4,9/25/16,Pit,@ Phi,"L, 34-3",1,7,7,7,0,1
,,10/2/16,Pit,KC,"W, 43-14",27,22,81.5,300,11.1,5,0,47,13-Feb,152.5,10/2/16,Pit,KC,"W, 43-14",1,-1,-1,-1,0,0
,,10/9/16,Pit,NYJ,"W, 31-13",47,34,72.3,380,8.1,4,0,72t,5-Jan,124.4,10/9/16,Pit,NYJ,"W, 31-13",0,0,0,0,0,0
,,10/16/16,Pit,@ Mia,"L, 30-15",34,19,55.9,189,5.6,1,2,23t,20-Feb,57.1,10/16/16,Pit,@ Mia,"L, 30-15",0,0,0,0,0,0
,,11/6/16,Pit,@ Bal,"L, 21-14",45,23,51.1,264,5.9,1,1,30,23-Feb,67.3,11/6/16,Pit,@ Bal,"L, 21-14",3,3,1,4t,1,1
,,11/13/16,Pit,Dal,"L, 35-30",46,37,80.4,408,8.9,3,0,44,8-Jan,125.4,11/13/16,Pit,Dal,"L, 35-30",1,1,1,1,0,0
,,11/20/16,Pit,@ Cle,"W, 24-9",36,23,63.9,167,4.6,0,0,21,0/0,74.7,11/20/16,Pit,@ Cle,"W, 24-9",0,0,0,0,0,0
,,11/24/16,Pit,@ Ind,"W, 28-7",20,14,70,221,11.1,3,0,35,0/0,146,11/24/16,Pit,@ Ind,"W, 28-7",0,0,0,0,0,0
,,12/4/16,Pit,NYG,"W, 24-14",36,24,66.7,289,8,2,1,37,17-Feb,98,12/4/16,Pit,NYG,"W, 24-14",0,0,0,0,0,0
,,12/11/16,Pit,@ Buf,"W, 27-20",31,17,54.8,220,7.1,0,3,40,0/0,37.8,12/11/16,Pit,@ Buf,"W, 27-20",3,-2,-0.67,0,0,0
Billy Volek,QB,12/9/01,Ten,@ Min,"L, 42-24",3,0,0,0,0,0,0,0,0/0,39.6,,,,,,,,,,
,,9/14/03,Ten,@ Ind,"L, 33-7",9,6,66.7,61,6.8,0,1,18,13-Feb,46.3,9/14/03,Ten,@ Ind,"L, 33-7",1,-1,-1,-1,0,0
,,10/12/03,Ten,Hou,"W, 38-17",0,0,0,0,0,0,0,0,0/0,0,10/12/03,Ten,Hou,"W, 38-17",1,-1,-1,-1,0,0
,,10/19/03,Ten,@ Car,"W, 37-17",2,1,50,50,25,1,0,50t,0/0,135.4,10/19/03,Ten,@ Car,"W, 37-17",0,0,0,0,0,0
,,11/9/03,Ten,Mia,"W, 31-7",2,2,100,22,11,0,0,18,0/0,112.5,11/9/03,Ten,Mia,"W, 31-7",2,0,0,1,0,0
,,11/23/03,Ten,@ Atl,"W, 38-31",15,9,60,117,7.8,1,0,25,0/0,106.8,11/23/03,Ten,@ Atl,"W, 38-31",4,2,0.5,5,0,0
,,12/14/03,Ten,Buf,"W, 28-26",41,26,63.4,295,7.2,2,0,37,Apr-32,101.2,12/14/03,Ten,Buf,"W, 28-26",3,4,1.33,4,1,1
,,9/26/04,Ten,Jax,"L, 15-12",1,0,0,0,0,0,0,0,0/0,39.6,9/26/04,Ten,Jax,"L, 15-12",0,0,0,0,0,0
,,10/3/04,Ten,@ SD,"L, 38-17",58,39,67.2,279,4.8,2,0,35,21-Mar,89.7,10/3/04,Ten,@ SD,"L, 38-17",3,17,5.67,12,0,3
,,10/24/04,Ten,@ Min,"L, 20-3",36,17,47.2,190,5.3,0,3,21,10-Feb,28.7,10/24/04,Ten,@ Min,"L, 20-3",0,0,0,0,0,0
,,10/31/04,Ten,Cin,"W, 27-20",32,21,65.6,210,6.6,2,1,37,15-Feb,91.9,10/31/04,Ten,Cin,"W, 27-20",3,4,1.33,5,0,0
,,11/14/04,Ten,Chi,"L, 19-17",44,27,61.4,334,7.6,2,1,47t,16-Mar,90.5,11/14/04,Ten,Chi,"L, 19-17",1,5,5,5,0,0
,,12/5/04,Ten,@ Ind,"L, 51-24",35,21,60,269,7.7,3,2,48t,Jul-44,88.9,12/5/04,Ten,@ Ind,"L, 51-24",1,-1,-1,-1,0,0
,,12/13/04,Ten,KC,"L, 49-38",43,29,67.4,426,9.9,4,0,42t,May-47,130.6,12/13/04,Ten,KC,"L, 49-38",2,24,12,14,0,1
,,12/19/04,Ten,@ Oak,"L, 40-35",60,40,66.7,492,8.2,4,1,32,26-Mar,107.1,12/19/04,Ten,@ Oak,"L, 40-35",1,1,1,1t,1,1
,,12/25/04,Ten,Den,"L, 37-16",20,8,40,111,5.5,0,2,37,May-37,19,12/25/04,Ten,Den,"L, 37-16",0,0,0,0,0,0
,,1/2/05,Ten,Det,"W, 24-19",28,16,57.1,175,6.2,1,0,32t,0/0,87.6,1/2/05,Ten,Det,"W, 24-19",0,0,0,0,0,0
,,9/11/05,Ten,@ Pit,"L, 34-7",1,0,0,0,0,0,1,0,0/0,0,9/11/05,Ten,@ Pit,"L, 34-7",0,0,0,0,0,0
,,10/23/05,Ten,@ Ari,"L, 20-10",32,18,56.2,198,6.2,1,1,38t,11-Mar,72.1,10/23/05,Ten,@ Ari,"L, 20-10",1,3,3,3,0,0
,,12/4/05,Ten,@ Ind,"L, 35-3",6,4,66.7,30,5,0,0,11,10-Feb,78.5,12/4/05,Ten,@ Ind,"L, 35-3",0,0,0,0,0,0
,,12/24/05,Ten,@ Mia,"L, 24-10",24,14,58.3,132,5.5,1,0,55t,24-Apr,87.5,12/24/05,Ten,@ Mia,"L, 24-10",0,0,0,0,0,0
,,1/1/06,Ten,@ Jax,"L, 40-13",25,14,56,114,4.6,2,0,15,0/0,94.4,1/1/06,Ten,@ Jax,"L, 40-13",0,0,0,0,0,0
,,12/31/06,SD,Ari,"W, 27-20",2,1,50,4,2,0,0,4,6-Jan,56.3,2/31/06,SD,Ari,"W, 27-20",3,-3,-1,-1,0,0
,,10/7/07,SD,@ Den,"W, 41-3",0,0,0,0,0,0,0,0,0/0,0,10/7/07,SD,@ Den,"W, 41-3",2,-2,-1,-1,0,0
,,12/9/07,SD,@ Ten,"W, 23-17",2,0,0,0,0,0,1,0,7-Jan,0,12/9/07,SD,@ Ten,"W, 23-17",1,-1,-1,-1,0,0
,,12/16/07,SD,Det,"W, 51-14",1,0,0,0,0,0,0,0,0/0,39.6,12/16/07,SD,Det,"W, 51-14",3,-2,-0.67,0,0,0
,,12/24/07,SD,Den,"W, 23-3",3,1,33.3,1,0.3,0,0,1,Jan-00,42.4,12/24/07,SD,Den,"W, 23-3",4,-2,-0.5,0,0,0
,,12/30/07,SD,@ Oak,"W, 30-17",4,2,50,5,1.2,0,0,4,0/0,56.3,12/30/07,SD,@ Oak,"W, 30-17",1,0,0,0,0,0
,,1/13/08,SD,@ Ind,"W, 28-24",4,3,75,48,12,0,0,27,0/0,114.6,1/13/08,SD,@ Ind,"W, 28-24",3,-1,-0.33,1t,1,1
,,10/25/09,SD,@ KC,"W, 37-7",0,0,0,0,0,0,0,0,0/0,0,10/25/09,SD,@ KC,"W, 37-7",3,-3,-1,-1,0,0
,,11/29/09,SD,KC,"W, 43-14",1,1,100,15,15,0,0,15,0/0,118.8,11/29/09,SD,KC,"W, 43-14",2,-2,-1,-1,0,0
,,12/25/09,SD,@ Ten,"W, 42-17",0,0,0,0,0,0,0,0,0/0,0,12/25/09,SD,@ Ten,"W, 42-17",3,-3,-1,-1,0,0
,,1/3/10,SD,Was,"W, 23-20",30,19,63.3,216,7.2,1,1,50,1-Jan,82.1,1/3/10,SD,Was,"W, 23-20",1,-1,-1,-1,0,0
,,9/19/10,SD,Jax,"W, 38-13",0,0,0,0,0,0,0,0,0/0,0,9/19/10,SD,Jax,"W, 38-13",1,-1,-1,-1,0,0
,,10/3/10,SD,Ari,"W, 41-10",1,1,100,8,8,0,0,8,0/0,100,10/3/10,SD,Ari,"W, 41-10",2,-2,-1,-1,0,0
,,12/16/10,SD,SF,"W, 34-7",0,0,0,0,0,0,0,0,0/0,0,12/16/10,SD,SF,"W, 34-7",3,-2,-0.67,0,0,0
,,12/5/11,SD,@ Jax,"W, 38-14",0,0,0,0,0,0,0,0,0/0,0,12/5/11,SD,@ Jax,"W, 38-14",3,-3,-1,-1,0,0
,,12/11/11,SD,Buf,"W, 37-10",0,0,0,0,0,0,0,0,0/0,0,12/11/11,SD,Buf,"W, 37-10",2,-2,-1,-1,0,0
Blaine Gabbert,,9/18/11,Jax,@ NYJ,"L, 32-3",6,5,83.3,52,8.7,0,0,14,10-Jan,102.8,9/18/11,Jax,@ NYJ,"L, 32-3",1,1,1,1,0,0
,,9/25/11,Jax,@ Car,"L, 16-10",21,12,57.1,139,6.6,1,1,36t,10-Feb,73.3,9/25/11,Jax,@ Car,"L, 16-10",4,2,0.5,2,0,1
,,10/2/11,Jax,NO,"L, 23-10",42,16,38.1,196,4.7,1,1,47,26-Mar,51.3,10/2/11,Jax,NO,"L, 23-10",2,14,7,12,0,1
,,10/9/11,Jax,Cin,"L, 30-20",28,15,53.6,221,7.9,1,0,74t,21-Mar,91.5,10/9/11,Jax,Cin,"L, 30-20",5,11,2.2,6,0,0
,,10/16/11,Jax,@ Pit,"L, 17-13",26,12,46.2,109,4.2,1,0,21,May-33,70.8,10/16/11,Jax,@ Pit,"L, 17-13",3,16,5.33,10,0,1
,,10/24/11,Jax,Bal,"W, 12-7",20,9,45,93,4.7,0,0,24,20-Apr,59,10/24/11,Jax,Bal,"W, 12-7",5,-1,-0.2,2,0,1
,,10/30/11,Jax,@ Hou,"L, 24-14",30,10,33.3,97,3.2,1,2,21,7-Jan,26.7,10/30/11,Jax,@ Hou,"L, 24-14",4,14,3.5,11,0,1
,,11/13/11,Jax,@ Ind,"W, 17-3",21,14,66.7,118,5.6,1,1,19,8-Feb,77.1,11/13/11,Jax,@ Ind,"W, 17-3",6,8,1.33,5,0,1
,,11/20/11,Jax,@ Cle,"L, 14-10",41,22,53.7,210,5.1,0,0,28,15-Jan,68.1,11/20/11,Jax,@ Cle,"L, 14-10",2,10,5,6,0,1
,,11/27/11,Jax,Hou,"L, 20-13",29,13,44.8,136,4.7,0,1,31,Jun-35,44.6,11/27/11,Jax,Hou,"L, 20-13",1,1,1,1,0,0
,,12/5/11,Jax,SD,"L, 38-14",33,19,57.6,195,5.9,2,1,48,18-Feb,82.3,12/5/11,Jax,SD,"L, 38-14",6,19,3.17,5,0,1
,,12/11/11,Jax,TB,"W, 41-14",33,19,57.6,217,6.6,2,2,62,8-Jan,72.4,12/11/11,Jax,TB,"W, 41-14",4,-3,-0.75,0,0,0
,,12/15/11,Jax,@ Atl,"L, 41-14",22,12,54.5,141,6.4,1,1,22,May-50,70.5,12/15/11,Jax,@ Atl,"L, 41-14",1,5,5,5,0,0
,,12/24/11,Jax,@ Ten,"L, 23-17",42,21,50,198,4.7,0,1,22,11-Jan,53.5,12/24/11,Jax,@ Ten,"L, 23-17",1,4,4,4,0,0
,,1/1/12,Jax,Ind,"W, 19-13",19,11,57.9,92,4.8,1,0,23t,21-Mar,88,1/1/12,Jax,Ind,"W, 19-13",3,-3,-1,-1,0,0
,,9/9/12,Jax,@ Min,"L, 26-23",39,23,59,260,6.7,2,0,39t,18-Feb,96.1,9/9/12,Jax,@ Min,"L, 26-23",5,6,1.2,4,0,1
,,9/16/12,Jax,Hou,"L, 27-7",19,7,36.8,53,2.8,1,0,32,24-Mar,62.8,9/16/12,Jax,Hou,"L, 27-7",1,5,5,5,0,0
,,9/23/12,Jax,@ Ind,"W, 22-17",21,10,47.6,155,7.4,1,0,80t,7-Jan,88.4,9/23/12,Jax,@ Ind,"W, 22-17",2,11,5.5,9,0,1
,,9/30/12,Jax,Cin,"L, 27-10",34,23,67.6,186,5.5,1,1,23,Jun-43,78.8,9/30/12,Jax,Cin,"L, 27-10",3,19,6.33,9,0,0
,,10/7/12,Jax,Chi,"L, 41-3",33,17,51.5,142,4.3,0,2,34,13-Mar,37.7,10/7/12,Jax,Chi,"L, 41-3",2,1,0.5,2,0,1
,,10/21/12,Jax,@ Oak,"L, 26-23",12,8,66.7,110,9.2,1,0,42t,0/0,123.6,10/21/12,Jax,@ Oak,"L, 26-23",0,0,0,0,0,0
,,10/28/12,Jax,@ GB,"L, 24-15",49,27,55.1,303,6.2,1,0,36,24-Feb,80.6,10/28/12,Jax,@ GB,"L, 24-15",1,0,0,0,0,0
,,11/4/12,Jax,Det,"L, 31-14",38,27,71.1,220,5.8,2,2,25,5-Jan,81,11/4/12,Jax,Det,"L, 31-14",3,4,1.33,2,0,2
,,11/8/12,Jax,Ind,"L, 27-10",31,18,58.1,209,6.7,0,1,52,24-Mar,65.1,11/8/12,Jax,Ind,"L, 27-10",1,10,10,10,0,1
,,11/18/12,Jax,@ Hou,"L, 43-37",2,2,100,24,12,0,0,15,Jan-00,116.7,11/18/12,Jax,@ Hou,"L, 43-37",0,0,0,0,0,0
,,9/8/13,Jax,KC,"L, 28-2",35,16,45.7,121,3.5,0,2,18,Jun-50,30.8,9/8/13,Jax,KC,"L, 28-2",4,16,4,7,0,0
,,9/29/13,Jax,Ind,"L, 37-3",32,17,53.1,179,5.6,0,3,31,14-Apr,30.6,9/29/13,Jax,Ind,"L, 37-3",2,10,5,5,0,0
,,10/6/13,Jax,@ Stl,"L, 34-20",19,9,47.4,181,9.5,1,2,67t,3-Feb,59.2,10/6/13,Jax,@ Stl,"L, 34-20",3,6,2,4,0,0
,,10/19/14,SF,@ Den,"L, 42-17",7,3,42.9,38,5.4,1,0,20t,0/0,100,10/19/14,SF,@ Den,"L, 42-17",1,5,5,5,0,0
,,11/8/15,SF,Atl,"W, 17-16",25,15,60,185,7.4,2,2,41,0/0,76.2,11/8/15,SF,Atl,"W, 17-16",8,32,4,10,0,2
,,11/22/15,SF,@ Sea,"L, 29-13",34,22,64.7,264,7.8,1,0,36,17-Feb,98.2,11/22/15,SF,@ Sea,"L, 29-13",4,22,5.5,10,0,1
,,11/29/15,SF,Ari,"L, 19-13",36,25,69.4,318,8.8,1,1,48,17-Feb,94.4,11/29/15,SF,Ari,"L, 19-13",1,11,11,11,0,1
,,12/6/15,SF,@ Chi,"W, 26-20",32,18,56.2,196,6.1,1,0,71t,26-Apr,84.9,12/6/15,SF,@ Chi,"W, 26-20",6,75,12.5,44t,1,3
,,12/13/15,SF,@ Cle,"L, 24-10",28,18,64.3,194,6.9,1,0,24,Sep-44,96.4,12/13/15,SF,@ Cle,"L, 24-10",3,19,6.33,11,0,1
,,12/20/15,SF,Cin,"L, 24-14",50,30,60,295,5.9,1,3,29,Apr-32,58.3,12/20/15,SF,Cin,"L, 24-14",2,10,5,6,0,0
,,12/27/15,SF,@ Det,"L, 32-17",33,22,66.7,225,6.8,2,0,38,24-Mar,106.2,12/27/15,SF,@ Det,"L, 32-17",1,9,9,9,0,0
,,1/3/16,SF,Stl,"W, 19-16",44,28,63.6,354,8,1,1,44,4-Jan,86.7,1/3/16,SF,Stl,"W, 19-16",7,7,1,9,0,0
,,9/12/16,SF,LA,"W, 28-0",35,22,62.9,170,4.9,1,0,35,0/0,84.2,9/12/16,SF,LA,"W, 28-0",9,43,4.78,11,0,4
,,9/18/16,SF,@ Car,"L, 46-27",36,17,47.2,243,6.8,2,2,75t,6-Feb,64.9,9/18/16,SF,@ Car,"L, 46-27",3,10,3.33,6,1,1
,,9/25/16,SF,@ Sea,"L, 37-18",25,14,56,119,4.8,0,1,20,0/0,51.9,9/25/16,SF,@ Sea,"L, 37-18",5,22,4.4,10,0,2
,,10/2/16,SF,Dal,"L, 24-17",23,16,69.6,196,8.5,1,1,33t,7-Jan,91.9,10/2/16,SF,Dal,"L, 24-17",12,27,2.25,7,0,3
,,10/6/16,SF,Ari,"L, 33-21",31,18,58.1,162,5.2,1,2,24,27-Jul,56.1,10/6/16,SF,Ari,"L, 33-21",10,70,7,24,1,5
,,12/4/16,SF,@ Chi,"L, 26-6",10,4,40,35,3.5,0,0,18,8-Jan,50,12/4/16,SF,@ Chi,"L, 26-6",1,1,1,1,0,0
Brian Hoyer,QB,10/18/09,NE,Ten,"W, 59-0",11,9,81.8,52,4.7,0,0,16,0/0,86.4,10/18/09,NE,Ten,"W, 59-0",6,-2,-0.33,4,1,1
,,10/25/09,NE,@ TB,"W, 35-7",0,0,0,0,0,0,0,0,0/0,0,10/25/09,NE,@ TB,"W, 35-7",3,17,5.67,20,0,1
,,11/30/09,NE,@ NO,"L, 38-17",4,2,50,19,4.8,0,0,14,8-Jan,63.5,11/30/09,NE,@ NO,"L, 38-17",0,0,0,0,0,0
,,1/3/10,NE,@ Hou,"L, 34-27",12,8,66.7,71,5.9,0,0,17,10-Jan,82.3,1/3/10,NE,@ Hou,"L, 34-27",1,10,10,10,0,1
,,10/4/10,NE,@ Mia,"W, 41-14",0,0,0,0,0,0,0,0,0/0,0,10/4/10,NE,@ Mia,"W, 41-14",1,-2,-2,-2,0,0
,,11/7/10,NE,@ Cle,"L, 34-14",2,0,0,0,0,0,1,0,0/0,0,11/7/10,NE,@ Cle,"L, 34-14",1,-1,-1,-1,0,0
,,12/12/10,NE,@ Chi,"W, 36-7",0,0,0,0,0,0,0,0,0/0,0,12/12/10,NE,@ Chi,"W, 36-7",3,-2,-0.67,0,0,0
,,12/26/10,NE,@ Buf,"W, 34-3",0,0,0,0,0,0,0,0,0/0,0,12/26/10,NE,@ Buf,"W, 34-3",4,-2,-0.5,1,0,0
,,1/2/11,NE,Mia,"W, 38-7",13,7,53.8,122,9.4,1,0,42t,0/0,111.7,1/2/11,NE,Mia,"W, 38-7",1,-1,-1,-1,0,0
,,11/27/11,NE,@ Phi,"W, 38-20",0,0,0,0,0,0,0,0,0/0,0,11/27/11,NE,@ Phi,"W, 38-20",1,-1,-1,-1,0,0
,,1/1/12,NE,Buf,"W, 49-21",1,1,100,22,22,0,0,22,0/0,118.8,1/1/12,NE,Buf,"W, 49-21",3,-2,-0.67,0,0,0
,,12/23/12,Ari,Chi,"L, 28-13",19,11,57.9,105,5.5,0,1,24,12-Feb,51.4,12/23/12,Ari,Chi,"L, 28-13",0,0,0,0,0,0
,,12/30/12,Ari,@ SF,"L, 27-13",34,19,55.9,225,6.6,1,1,53,18-Feb,73.8,12/30/12,Ari,@ SF,"L, 27-13",1,6,6,6,0,1
,,9/22/13,Cle,@ Min,"W, 31-27",54,30,55.6,321,5.9,3,3,47t,26-Mar,68.5,9/22/13,Cle,@ Min,"W, 31-27",1,-2,-2,-2,0,0
,,9/29/13,Cle,Cin,"W, 17-6",38,25,65.8,269,7.1,2,0,39,22-Mar,103.9,9/29/13,Cle,Cin,"W, 17-6",4,7,1.75,8,0,0
,,10/3/13,Cle,Buf,"W, 37-24",4,2,50,25,6.2,0,0,13,0/0,69.8,10/3/13,Cle,Buf,"W, 37-24",1,11,11,11,0,1
,,9/7/14,Cle,@ Pit,"L, 30-27",30,18,60,222,7.4,1,0,47,24-Mar,94,9/7/14,Cle,@ Pit,"L, 30-27",1,-2,-2,-2,0,0
,,9/14/14,Cle,NO,"W, 26-24",40,24,60,204,5.1,1,0,28,2-Jan,81.7,9/14/14,Cle,NO,"W, 26-24",0,0,0,0,0,0
,,9/21/14,Cle,Bal,"L, 23-21",25,19,76,290,11.6,1,0,70,0/0,127.1,9/21/14,Cle,Bal,"L, 23-21",3,-2,-0.67,3,0,0
,,10/5/14,Cle,@ Ten,"W, 29-28",37,21,56.8,291,7.9,3,1,49,7-Jan,97.9,10/5/14,Cle,@ Ten,"W, 29-28",1,2,2,2,0,1
,,10/12/14,Cle,Pit,"W, 31-10",17,8,47.1,217,12.8,1,0,51t,7-Jan,113,10/12/14,Cle,Pit,"W, 31-10",1,0,0,0,0,0
,,10/19/14,Cle,@ Jax,"L, 24-6",41,16,39,215,5.2,0,1,65,18-Mar,46.3,10/19/14,Cle,@ Jax,"L, 24-6",1,-1,-1,-1,0,0
,,10/26/14,Cle,Oak,"W, 23-13",28,19,67.9,275,9.8,1,0,48,8-Jan,111.5,10/26/14,Cle,Oak,"W, 23-13",2,1,0.5,2,0,0
,,11/2/14,Cle,TB,"W, 22-17",34,21,61.8,300,8.8,2,2,34t,26-Apr,85.4,11/2/14,Cle,TB,"W, 22-17",2,5,2.5,3,0,1
,,11/6/14,Cle,@ Cin,"W, 24-3",23,15,65.2,198,8.6,0,0,28,0/0,92.3,11/6/14,Cle,@ Cin,"W, 24-3",4,1,0.25,3,0,1
,,11/16/14,Cle,Hou,"L, 23-7",50,20,40,330,6.6,1,1,35,20-Mar,61.2,11/16/14,Cle,Hou,"L, 23-7",2,1,0.5,2,0,1
,,11/23/14,Cle,@ Atl,"W, 26-24",40,23,57.5,322,8.1,0,3,40,9-Jan,52.3,11/23/14,Cle,@ Atl,"W, 26-24",3,12,4,9,0,0
,,11/30/14,Cle,@ Buf,"L, 26-10",30,18,60,192,6.4,0,2,30,14-Feb,51,11/30/14,Cle,@ Buf,"L, 26-10",0,0,0,0,0,0
,,12/7/14,Cle,Ind,"L, 25-24",30,13,43.3,136,4.5,0,2,27,3-Jan,29.3,12/7/14,Cle,Ind,"L, 25-24",2,3,1.5,4,0,0
,,12/21/14,Cle,@ Car,"L, 17-13",13,7,53.8,134,10.3,1,1,81t,22-Mar,83.5,12/21/14,Cle,@ Car,"L, 17-13",2,19,9.5,11,0,1
,,9/13/15,Hou,KC,"L, 27-20",34,18,52.9,236,6.9,1,1,32,29-Apr,72.7,9/13/15,Hou,KC,"L, 27-20",0,0,0,0,0,0
,,10/4/15,Hou,@ Atl,"L, 48-21",30,17,56.7,232,7.7,2,0,42,8-Jan,103.7,10/4/15,Hou,@ Atl,"L, 48-21",0,0,0,0,0,0
,,10/8/15,Hou,Ind,"L, 27-20",31,24,77.4,312,10.1,2,1,42t,0/0,116.6,10/8/15,Hou,Ind,"L, 27-20",1,14,14,14,0,1
,,10/18/15,Hou,@ Jax,"W, 31-20",36,24,66.7,293,8.1,3,0,31,6-Jan,119.3,10/18/15,Hou,@ Jax,"W, 31-20",5,5,1,6,0,2
,,10/25/15,Hou,@ Mia,"L, 44-26",49,23,46.9,273,5.6,3,1,27t,22-Apr,76.3,10/25/15,Hou,@ Mia,"L, 44-26",0,0,0,0,0,0
,,11/1/15,Hou,Ten,"W, 20-6",35,23,65.7,235,6.7,2,0,42t,21-Mar,103.9,11/1/15,Hou,Ten,"W, 20-6",1,-1,-1,-1,0,0
,,11/16/15,Hou,@ Cin,"W, 10-6",22,12,54.5,123,5.6,0,1,25,10-Feb,51.9,11/16/15,Hou,@ Cin,"W, 10-6",1,15,15,15,0,1
,,11/29/15,Hou,NO,"W, 24-6",27,21,77.8,205,7.6,2,1,37,10-Jan,107.6,11/29/15,Hou,NO,"W, 24-6",3,-3,-1,-1,0,0
,,12/6/15,Hou,@ Buf,"L, 30-21",43,26,60.5,293,6.8,3,1,29,18-Feb,94.4,12/6/15,Hou,@ Buf,"L, 30-21",3,15,5,14,0,2
,,12/13/15,Hou,NE,"L, 27-6",22,11,50,155,7,0,0,49,May-54,73.1,12/13/15,Hou,NE,"L, 27-6",1,-1,-1,-1,0,0
