Name,Pos,Date,Team,Opp,Result,Att,Cmp,Pct,Yds,YPA,TD,Int,Lg,Sack,Rate,,,,,,,,,,
,,10/2/11,Cin,Buf,"W, 23-20",36,18,50,298,8.3,1,2,58,11-Feb,64.4,10/2/11,Cin,Buf,"W, 23-20",3,12,4,6,1,2
,,10/9/11,Cin,@ Jax,"W, 30-20",33,21,63.6,179,5.4,2,1,37t,17-Feb,85.3,10/9/11,Cin,@ Jax,"W, 30-20",0,0,0,0,0,0
,,10/16/11,Cin,Ind,"W, 27-17",32,25,78.1,264,8.2,1,0,32,0/0,111.5,10/16/11,Cin,Ind,"W, 27-17",2,-1,-0.5,0,0,0
,,10/30/11,Cin,@ Sea,"W, 34-12",29,18,62.1,168,5.8,2,2,43t,8-Jan,72.2,10/30/11,Cin,@ Sea,"W, 34-12",2,3,1.5,3,0,0
,,11/6/11,Cin,@ Ten,"W, 24-17",39,22,56.4,217,5.6,3,0,25,7-Jan,97.9,11/6/11,Cin,@ Ten,"W, 24-17",3,4,1.33,3,0,1
,,11/13/11,Cin,Pit,"L, 24-17",30,15,50,170,5.7,2,2,36t,0/0,61.8,11/13/11,Cin,Pit,"L, 24-17",0,0,0,0,0,0
,,11/20/11,Cin,@ Bal,"L, 31-24",45,24,53.3,373,8.3,1,3,49t,9-Feb,60.7,11/20/11,Cin,@ Bal,"L, 31-24",4,32,8,11,0,2
,,11/27/11,Cin,Cle,"W, 23-20",31,21,67.7,270,8.7,1,0,51,13-Feb,105.6,11/27/11,Cin,Cle,"W, 23-20",6,23,3.83,7,0,0
,,12/4/11,Cin,@ Pit,"L, 35-7",24,11,45.8,135,5.6,1,0,43,24-Mar,77.6,12/4/11,Cin,@ Pit,"L, 35-7",2,6,3,4,0,0
,,12/11/11,Cin,Hou,"L, 20-19",28,16,57.1,189,6.8,1,0,36,5-Jan,89.7,12/11/11,Cin,Hou,"L, 20-19",1,2,2,2,0,0
,,12/18/11,Cin,@ Stl,"W, 20-13",26,15,57.7,179,6.9,0,1,55,6-Jan,62.8,12/18/11,Cin,@ Stl,"W, 20-13",2,-2,-1,-1,0,0
,,12/24/11,Cin,Ari,"W, 23-16",31,18,58.1,154,5,2,0,19t,18-Feb,92.7,12/24/11,Cin,Ari,"W, 23-16",5,48,9.6,17,0,3
,,1/1/12,Cin,Bal,"L, 24-16",44,22,50,232,5.3,0,0,31,1-Jan,65.7,1/1/12,Cin,Bal,"L, 24-16",4,17,4.25,13,0,1
,,1/7/12,Cin,@ Hou,"L, 31-10",42,27,64.3,257,6.1,0,3,36,Apr-33,51.4,1/7/12,Cin,@ Hou,"L, 31-10",3,17,5.67,15,0,2
